question,dedup_answer,answer,dataset_name,quality
What are the treatments for Squamous cell carcinoma ?,"How might squamous cell carcinoma be treated? Skin cancer generally has a high cure rate if it is treated early. Treatment depends on how big the tumor is, its location, and how far it has spread (metastasis). Methods of treatment for squamous cell carcinoma may include: Curettage and desiccation - scraping away the cancer and using electricity to kill any remaining cancer cells; this is used to treat cancers that are not very large or deep Surgical excision - cutting out of the tumor and stitching up the remaining tissue Radiation therapy (if the skin cancer is located in an area difficult to treat surgically) Microscopically controlled excision (Mohs surgery) - repeated cutting out of small pieces of tissue that are then examined microscopically to check if any cancer has been left behind; repeated application of this technique minimizes the removal of healthy tissue and is cosmetically more satisfying, especially if carried out with a plastic surgeon as part of the medical team. This is more likely to be used for skin cancers on the nose, ears, and other areas of the face. Cryosurgery - freezing and killing the cancer cells Skin creams and medications - may be used to treat superficial (not very deep) squamous cell carcinoma. The outlook for small squamous cell lesions that are removed early and completely is extremely favorable, with about 95% cured if they are removed promptly.","How might squamous cell carcinoma be treated? Skin cancer generally has a high cure rate if it is treated early. Treatment depends on how big the tumor is, its location, and how far it has spread (metastasis). Methods of treatment for squamous cell carcinoma may include: Curettage and desiccation - scraping away the cancer and using electricity to kill any remaining cancer cells; this is used to treat cancers that are not very large or deep Surgical excision - cutting out of the tumor and stitching up the remaining tissue Radiation therapy (if the skin cancer is located in an area difficult to treat surgically) Microscopically controlled excision (Mohs surgery) - repeated cutting out of small pieces of tissue that are then examined microscopically to check if any cancer has been left behind; repeated application of this technique minimizes the removal of healthy tissue and is cosmetically more satisfying, especially if carried out with a plastic surgeon as part of the medical team. This is more likely to be used for skin cancers on the nose, ears, and other areas of the face. Cryosurgery - freezing and killing the cancer cells Skin creams and medications - may be used to treat superficial (not very deep) squamous cell carcinoma. The outlook for small squamous cell lesions that are removed early and completely is extremely favorable, with about 95% cured if they are removed promptly.",MedQuAD,1
"What is (are) 2,4-Dienoyl-CoA reductase deficiency ?","2,4-Dienoyl-CoA reductase deficiency is associated with hypotonia and respiratory acidosis in infancy. This condition may be associated with the DECR1 gene and likely has an autosomal recessive pattern of inheritance.","2,4-Dienoyl-CoA reductase deficiency is associated with hypotonia and respiratory acidosis in infancy. This condition may be associated with the DECR1 gene and likely has an autosomal recessive pattern of inheritance.",MedQuAD,1
What are the treatments for Pseudohypoaldosteronism type 2 ?,How might pseudohypoaldosteronism type 2 be treated? Pseudohypoaldosteronism may be treated with thiazide diuretics and dietary restriction of sodium.,How might pseudohypoaldosteronism type 2 be treated? Pseudohypoaldosteronism may be treated with thiazide diuretics and dietary restriction of sodium.,MedQuAD,1
"What are the symptoms of Progressive external ophthalmoplegia, autosomal recessive 1 ?","What are the signs and symptoms of Progressive external ophthalmoplegia, autosomal recessive 1 ? The Human Phenotype Ontology provides the following list of signs and symptoms for Progressive external ophthalmoplegia, autosomal recessive 1 . If the information is available, the table below includes how often the symptom is seen in people with this condition. You can use the MedlinePlus Medical Dictionary to look up the definitions for these medical terms. Signs and Symptoms Approximate number of patients (when available) Adult onset 75% Cardiomyopathy 7.5% Dyschromatopsia 5% Optic atrophy 5% Visual impairment 5% Areflexia - Autosomal recessive inheritance - Bradykinesia - Decreased activity of cytochrome C oxidase in muscle tissue - Depression - Distal muscle weakness - Dysarthria - Dysphagia - Dysphonia - Elevated serum creatine phosphokinase - EMG: myopathic abnormalities - Emotional lability - Exercise intolerance - Facial palsy - Gait ataxia - Generalized amyotrophy - Hyporeflexia - Impaired distal proprioception - Impaired distal vibration sensation - Increased CSF protein - Increased variability in muscle fiber diameter - Limb ataxia - Mildly elevated creatine phosphokinase - Mitochondrial myopathy - Mitral regurgitation - Mitral valve prolapse - Multiple mitochondrial DNA deletions - Muscle fiber necrosis - Parkinsonism - Pes cavus - Phenotypic variability - Positive Romberg sign - Progressive external ophthalmoplegia - Proximal muscle weakness - Ptosis - Ragged-red muscle fibers - Respiratory insufficiency due to muscle weakness - Rigidity - Sensory ataxic neuropathy - Sensory axonal neuropathy - Steppage gait - Subsarcolemmal accumulations of abnormally shaped mitochondria - The Human Phenotype Ontology (HPO) has collected information on how often a sign or symptom occurs in a condition. Much of this information comes from Orphanet, a European rare disease database. The frequency of a sign or symptom is usually listed as a rough estimate of the percentage of patients who have that feature. The frequency may also be listed as a fraction. The first number of the fraction is how many people had the symptom, and the second number is the total number of people who were examined in one study. For example, a frequency of 25/25 means that in a study of 25 people all patients were found to have that symptom. Because these frequencies are based on a specific study, the fractions may be different if another group of patients are examined. Sometimes, no information on frequency is available. In these cases, the sign or symptom may be rare or common.","What are the signs and symptoms of Progressive external ophthalmoplegia, autosomal recessive 1 ? The Human Phenotype Ontology provides the following list of signs and symptoms for Progressive external ophthalmoplegia, autosomal recessive 1 . If the information is available, the table below includes how often the symptom is seen in people with this condition. You can use the MedlinePlus Medical Dictionary to look up the definitions for these medical terms. Signs and Symptoms Approximate number of patients (when available) Adult onset 75% Cardiomyopathy 7.5% Dyschromatopsia 5% Optic atrophy 5% Visual impairment 5% Areflexia - Autosomal recessive inheritance - Bradykinesia - Decreased activity of cytochrome C oxidase in muscle tissue - Depression - Distal muscle weakness - Dysarthria - Dysphagia - Dysphonia - Elevated serum creatine phosphokinase - EMG: myopathic abnormalities - Emotional lability - Exercise intolerance - Facial palsy - Gait ataxia - Generalized amyotrophy - Hyporeflexia - Impaired distal proprioception - Impaired distal vibration sensation - Increased CSF protein - Increased variability in muscle fiber diameter - Limb ataxia - Mildly elevated creatine phosphokinase - Mitochondrial myopathy - Mitral regurgitation - Mitral valve prolapse - Multiple mitochondrial DNA deletions - Muscle fiber necrosis - Parkinsonism - Pes cavus - Phenotypic variability - Positive Romberg sign - Progressive external ophthalmoplegia - Proximal muscle weakness - Ptosis - Ragged-red muscle fibers - Respiratory insufficiency due to muscle weakness - Rigidity - Sensory ataxic neuropathy - Sensory axonal neuropathy - Steppage gait - Subsarcolemmal accumulations of abnormally shaped mitochondria - The Human Phenotype Ontology (HPO) has collected information on how often a sign or symptom occurs in a condition. Much of this information comes from Orphanet, a European rare disease database. The frequency of a sign or symptom is usually listed as a rough estimate of the percentage of patients who have that feature. The frequency may also be listed as a fraction. The first number of the fraction is how many people had the symptom, and the second number is the total number of people who were examined in one study. For example, a frequency of 25/25 means that in a study of 25 people all patients were found to have that symptom. Because these frequencies are based on a specific study, the fractions may be different if another group of patients are examined. Sometimes, no information on frequency is available. In these cases, the sign or symptom may be rare or common.",MedQuAD,1
What are the treatments for Preauricular sinus ?,"How might a preauricular sinus be treated? The majority of preauricular sinuses do not cause symptoms or problems unless they become infected. Common signs of infection include swelling, redness, fluid drainage, and pain. In these cases, treatment typically includes systemic antibiotics. If an abscess is present, it will likely need to be incised and drained. There are differing opinions in the medical literature about the indications for surgical removal of preauricular sinuses. Some believe that even asymptomatic sinuses should be removed. Others believe that surgery is indicated if infection or other complications arise.","How might a preauricular sinus be treated? The majority of preauricular sinuses do not cause symptoms or problems unless they become infected. Common signs of infection include swelling, redness, fluid drainage, and pain. In these cases, treatment typically includes systemic antibiotics. If an abscess is present, it will likely need to be incised and drained. There are differing opinions in the medical literature about the indications for surgical removal of preauricular sinuses. Some believe that even asymptomatic sinuses should be removed. Others believe that surgery is indicated if infection or other complications arise.",MedQuAD,1
What are the stages of Testicular Cancer ?,"Key Points
                    - After testicular cancer has been diagnosed, tests are done to find out if cancer cells have spread within the testicles or to other parts of the body.     - There are three ways that cancer spreads in the body.    - Cancer may spread from where it began to other parts of the body.    - The following stages are used for testicular cancer:         - Stage 0 (Testicular Intraepithelial Neoplasia)     - Stage I     - Stage II     - Stage III
                
                
                    After testicular cancer has been diagnosed, tests are done to find out if cancer cells have spread within the testicles or to other parts of the body.
                    The process used to find out if cancer has spread within the testicles or to other parts of the body is called staging. The information gathered from the staging process determines the stage of the disease. It is important to know the stage in order to plan treatment.    The following tests and procedures may be used in the staging process:         -   Chest x-ray : An x-ray of the organs and bones inside the chest. An x-ray is a type of energy beam that can go through the body and onto film, making a picture of areas inside the body.    -   CT scan (CAT scan): A procedure that makes a series of detailed pictures of areas inside the body, taken from different angles. The pictures are made by a computer linked to an x-ray machine. A dye may be injected into a vein or swallowed to help the organs or tissues show up more clearly. This procedure is also called computed tomography, computerized tomography, or computerized axial tomography.    -   PET scan (positron emission tomography scan): A procedure to find malignant tumor cells in the body. A small amount of radioactive glucose (sugar) is injected into a vein. The PET scanner rotates around the body and makes a picture of where glucose is being used in the body. Malignant tumor cells show up brighter in the picture because they are more active and take up more glucose than normal cells do.     -   MRI (magnetic resonance imaging): A procedure that uses a magnet, radio waves, and a computer to make a series of detailed pictures of areas inside the body. This procedure is also called nuclear magnetic resonance imaging (NMRI).    -   Abdominal lymph node dissection : A surgical procedure in which lymph nodes in the abdomen are removed and a sample of tissue is checked under a microscope for signs of cancer. This procedure is also called lymphadenectomy. For patients with nonseminoma, removing the lymph nodes may help stop the spread of disease. Cancer cells in the lymph nodes of seminoma patients can be treated with radiation therapy.     -   Serum tumor marker test : A procedure in which a sample of blood is examined to measure the amounts of certain substances released into the blood by organs, tissues, or tumor cells in the body. Certain substances are linked to specific types of cancer when found in increased levels in the blood. These are called tumor markers. The following 3 tumor markers are used in staging testicular cancer:               -  Alpha-fetoprotein (AFP)      -  Beta-human chorionic gonadotropin (-hCG).       -  Lactate dehydrogenase (LDH).         Tumor marker levels are measured again, after inguinal orchiectomy and biopsy, in order to determine the stage of the cancer. This helps to show if all of the cancer has been removed or if more treatment is needed. Tumor marker levels are also measured during follow-up as a way of checking if the cancer has come back.
                
                
                    There are three ways that cancer spreads in the body.
                    Cancer can spread through tissue, the lymph system, and the blood:         - Tissue. The cancer spreads from where it began by growing into nearby areas.     - Lymph system. The cancer spreads from where it began by getting into the lymph system. The cancer travels through the lymph vessels to other parts of the body.     - Blood. The cancer spreads from where it began by getting into the blood. The cancer travels through the blood vessels to other parts of the body.
                
                
                    Cancer may spread from where it began to other parts of the body.
                    When cancer spreads to another part of the body, it is called metastasis. Cancer cells break away from where they began (the primary tumor) and travel through the lymph system or blood.         - Lymph system. The cancer gets into the lymph system, travels through the lymph vessels, and forms a tumor (metastatic tumor) in another part of the body.    - Blood. The cancer gets into the blood, travels through the blood vessels, and forms a tumor (metastatic tumor) in another part of the body.        The metastatic tumor is the same type of cancer as the primary tumor. For example, if testicular cancer spreads to the lung, the cancer cells in the lung are actually testicular cancer cells. The disease is metastatic testicular cancer, not lung cancer.
                
                
                    The following stages are used for testicular cancer:
                    Stage 0 (Testicular Intraepithelial Neoplasia)    In stage 0, abnormal cells are found in the tiny tubules where the sperm cells begin to develop. These abnormal cells may become cancer and spread into nearby normal tissue. All tumor marker levels are normal. Stage 0 is also called testicular intraepithelial neoplasia and testicular intratubular germ cell neoplasia.        Stage I    In stage I, cancer has formed. Stage I is divided into stage IA, stage IB, and stage IS and is determined after an inguinal orchiectomy is done.            - In stage IA, cancer is in the testicle and epididymis and may have spread to the inner layer of the membrane surrounding the testicle. All tumor marker levels are normal.     - In stage IB, cancer:                   -  is in the testicle and the epididymis and has spread to the blood vessels or lymph vessels in the testicle; or       - has spread to the outer layer of the membrane surrounding the testicle; or       - is in the spermatic cord or the scrotum and may be in the blood vessels or lymph vessels of the testicle.           All tumor marker levels are normal.     - In stage IS, cancer is found anywhere within the testicle, spermatic cord, or the scrotum and either:                  - all tumor marker levels are slightly above normal; or       - one or more tumor marker levels are moderately above normal or high.                          Stage II     Stage II is divided into stage IIA, stage IIB, and stage IIC and is determined after an inguinal orchiectomy is done.            - In stage IIA, cancer:                   - is anywhere within the testicle, spermatic cord, or scrotum; and       - has spread to up to 5 lymph nodes in the abdomen, none larger than 2 centimeters.           All tumor marker levels are normal or slightly above normal.     - In stage IIB, cancer is anywhere within the testicle, spermatic cord, or scrotum; and either:                  - has spread to up to 5 lymph nodes in the abdomen; at least one of the lymph nodes is larger than 2 centimeters, but none are larger than 5 centimeters; or       - has spread to more than 5 lymph nodes; the lymph nodes are not larger than 5 centimeters.           All tumor marker levels are normal or slightly above normal.     - In stage IIC, cancer:                  - is anywhere within the testicle, spermatic cord, or scrotum; and       - has spread to a lymph node in the abdomen that is larger than 5 centimeters.           All tumor marker levels are normal or slightly above normal.              Stage III     Stage III is divided into stage IIIA, stage IIIB, and stage IIIC and is determined after an inguinal orchiectomy is done.            - In stage IIIA, cancer:                  - is anywhere within the testicle, spermatic cord, or scrotum; and       - may have spread to one or more lymph nodes in the abdomen; and       - has spread to distant lymph nodes or to the lungs.            Tumor marker levels may range from normal to slightly above normal.     - In stage IIIB, cancer:                  - is anywhere within the testicle, spermatic cord, or scrotum; and       - may have spread to one or more lymph nodes in the abdomen, to distant lymph nodes, or to the lungs.           The level of one or more tumor markers is moderately above normal.     - In stage IIIC, cancer:                  - is anywhere within the testicle, spermatic cord, or scrotum; and       - may have spread to one or more lymph nodes in the abdomen, to distant lymph nodes, or to the lungs.            The level of one or more tumor markers is high. or Cancer:                  - is anywhere within the testicle, spermatic cord, or scrotum; and       - may have spread to one or more lymph nodes in the abdomen; and       - has not spread to distant lymph nodes or the lung but has spread to other parts of the body.           Tumor marker levels may range from normal to high.","Key Points
                    - After testicular cancer has been diagnosed, tests are done to find out if cancer cells have spread within the testicles or to other parts of the body.     - There are three ways that cancer spreads in the body.    - Cancer may spread from where it began to other parts of the body.    - The following stages are used for testicular cancer:         - Stage 0 (Testicular Intraepithelial Neoplasia)     - Stage I     - Stage II     - Stage III
                
                
                    After testicular cancer has been diagnosed, tests are done to find out if cancer cells have spread within the testicles or to other parts of the body.
                    The process used to find out if cancer has spread within the testicles or to other parts of the body is called staging. The information gathered from the staging process determines the stage of the disease. It is important to know the stage in order to plan treatment.    The following tests and procedures may be used in the staging process:         -   Chest x-ray : An x-ray of the organs and bones inside the chest. An x-ray is a type of energy beam that can go through the body and onto film, making a picture of areas inside the body.    -   CT scan (CAT scan): A procedure that makes a series of detailed pictures of areas inside the body, taken from different angles. The pictures are made by a computer linked to an x-ray machine. A dye may be injected into a vein or swallowed to help the organs or tissues show up more clearly. This procedure is also called computed tomography, computerized tomography, or computerized axial tomography.    -   PET scan (positron emission tomography scan): A procedure to find malignant tumor cells in the body. A small amount of radioactive glucose (sugar) is injected into a vein. The PET scanner rotates around the body and makes a picture of where glucose is being used in the body. Malignant tumor cells show up brighter in the picture because they are more active and take up more glucose than normal cells do.     -   MRI (magnetic resonance imaging): A procedure that uses a magnet, radio waves, and a computer to make a series of detailed pictures of areas inside the body. This procedure is also called nuclear magnetic resonance imaging (NMRI).    -   Abdominal lymph node dissection : A surgical procedure in which lymph nodes in the abdomen are removed and a sample of tissue is checked under a microscope for signs of cancer. This procedure is also called lymphadenectomy. For patients with nonseminoma, removing the lymph nodes may help stop the spread of disease. Cancer cells in the lymph nodes of seminoma patients can be treated with radiation therapy.     -   Serum tumor marker test : A procedure in which a sample of blood is examined to measure the amounts of certain substances released into the blood by organs, tissues, or tumor cells in the body. Certain substances are linked to specific types of cancer when found in increased levels in the blood. These are called tumor markers. The following 3 tumor markers are used in staging testicular cancer:               -  Alpha-fetoprotein (AFP)      -  Beta-human chorionic gonadotropin (-hCG).       -  Lactate dehydrogenase (LDH).         Tumor marker levels are measured again, after inguinal orchiectomy and biopsy, in order to determine the stage of the cancer. This helps to show if all of the cancer has been removed or if more treatment is needed. Tumor marker levels are also measured during follow-up as a way of checking if the cancer has come back.
                
                
                    There are three ways that cancer spreads in the body.
                    Cancer can spread through tissue, the lymph system, and the blood:         - Tissue. The cancer spreads from where it began by growing into nearby areas.     - Lymph system. The cancer spreads from where it began by getting into the lymph system. The cancer travels through the lymph vessels to other parts of the body.     - Blood. The cancer spreads from where it began by getting into the blood. The cancer travels through the blood vessels to other parts of the body.
                
                
                    Cancer may spread from where it began to other parts of the body.
                    When cancer spreads to another part of the body, it is called metastasis. Cancer cells break away from where they began (the primary tumor) and travel through the lymph system or blood.         - Lymph system. The cancer gets into the lymph system, travels through the lymph vessels, and forms a tumor (metastatic tumor) in another part of the body.    - Blood. The cancer gets into the blood, travels through the blood vessels, and forms a tumor (metastatic tumor) in another part of the body.        The metastatic tumor is the same type of cancer as the primary tumor. For example, if testicular cancer spreads to the lung, the cancer cells in the lung are actually testicular cancer cells. The disease is metastatic testicular cancer, not lung cancer.
                
                
                    The following stages are used for testicular cancer:
                    Stage 0 (Testicular Intraepithelial Neoplasia)    In stage 0, abnormal cells are found in the tiny tubules where the sperm cells begin to develop. These abnormal cells may become cancer and spread into nearby normal tissue. All tumor marker levels are normal. Stage 0 is also called testicular intraepithelial neoplasia and testicular intratubular germ cell neoplasia.        Stage I    In stage I, cancer has formed. Stage I is divided into stage IA, stage IB, and stage IS and is determined after an inguinal orchiectomy is done.            - In stage IA, cancer is in the testicle and epididymis and may have spread to the inner layer of the membrane surrounding the testicle. All tumor marker levels are normal.     - In stage IB, cancer:                   -  is in the testicle and the epididymis and has spread to the blood vessels or lymph vessels in the testicle; or       - has spread to the outer layer of the membrane surrounding the testicle; or       - is in the spermatic cord or the scrotum and may be in the blood vessels or lymph vessels of the testicle.           All tumor marker levels are normal.     - In stage IS, cancer is found anywhere within the testicle, spermatic cord, or the scrotum and either:                  - all tumor marker levels are slightly above normal; or       - one or more tumor marker levels are moderately above normal or high.                          Stage II     Stage II is divided into stage IIA, stage IIB, and stage IIC and is determined after an inguinal orchiectomy is done.            - In stage IIA, cancer:                   - is anywhere within the testicle, spermatic cord, or scrotum; and       - has spread to up to 5 lymph nodes in the abdomen, none larger than 2 centimeters.           All tumor marker levels are normal or slightly above normal.     - In stage IIB, cancer is anywhere within the testicle, spermatic cord, or scrotum; and either:                  - has spread to up to 5 lymph nodes in the abdomen; at least one of the lymph nodes is larger than 2 centimeters, but none are larger than 5 centimeters; or       - has spread to more than 5 lymph nodes; the lymph nodes are not larger than 5 centimeters.           All tumor marker levels are normal or slightly above normal.     - In stage IIC, cancer:                  - is anywhere within the testicle, spermatic cord, or scrotum; and       - has spread to a lymph node in the abdomen that is larger than 5 centimeters.           All tumor marker levels are normal or slightly above normal.              Stage III     Stage III is divided into stage IIIA, stage IIIB, and stage IIIC and is determined after an inguinal orchiectomy is done.            - In stage IIIA, cancer:                  - is anywhere within the testicle, spermatic cord, or scrotum; and       - may have spread to one or more lymph nodes in the abdomen; and       - has spread to distant lymph nodes or to the lungs.            Tumor marker levels may range from normal to slightly above normal.     - In stage IIIB, cancer:                  - is anywhere within the testicle, spermatic cord, or scrotum; and       - may have spread to one or more lymph nodes in the abdomen, to distant lymph nodes, or to the lungs.           The level of one or more tumor markers is moderately above normal.     - In stage IIIC, cancer:                  - is anywhere within the testicle, spermatic cord, or scrotum; and       - may have spread to one or more lymph nodes in the abdomen, to distant lymph nodes, or to the lungs.            The level of one or more tumor markers is high. or Cancer:                  - is anywhere within the testicle, spermatic cord, or scrotum; and       - may have spread to one or more lymph nodes in the abdomen; and       - has not spread to distant lymph nodes or the lung but has spread to other parts of the body.           Tumor marker levels may range from normal to high.",MedQuAD,1
What is (are) Renal tubular acidosis with deafness ?,"Renal tubular acidosis with deafness is characterized by kidney (renal) problems and sensorineural hearing loss. Infants with this condition may have problems with feeding and gaining weight (failure to thrive). Most children and adults with the condition have short stature, and many develop kidney stones. Other less common features include a softening and weakening of the bones and hypokalemic paralysis (extreme muscle weakness associated with low levels of potassium in the blood). Renal tubular acidosis with deafness is caused by mutations in the ATP6V1B1 or ATP6V0A4 gene. It is inherited in an autosomal recessive pattern. Treatment with sodium bicarbonate or sodium citrate can reduce or prevent many of the symptoms of this condition.","Renal tubular acidosis with deafness is characterized by kidney (renal) problems and sensorineural hearing loss. Infants with this condition may have problems with feeding and gaining weight (failure to thrive). Most children and adults with the condition have short stature, and many develop kidney stones. Other less common features include a softening and weakening of the bones and hypokalemic paralysis (extreme muscle weakness associated with low levels of potassium in the blood). Renal tubular acidosis with deafness is caused by mutations in the ATP6V1B1 or ATP6V0A4 gene. It is inherited in an autosomal recessive pattern. Treatment with sodium bicarbonate or sodium citrate can reduce or prevent many of the symptoms of this condition.",MedQuAD,1
How to diagnose Warthin tumor ?,"How is Warthin tumor diagnosed? A diagnosis of Warthin tumor is often suspected based on the presence of characteristic signs and symptoms. The following tests may then be ordered to confirm the diagnosis and rule out other conditions that cause similar features: X-rays of the salivary gland (called a ptyalogram or sialogram) CT scan, MRI and/or ultrasound Salivary gland biopsy","How is Warthin tumor diagnosed? A diagnosis of Warthin tumor is often suspected based on the presence of characteristic signs and symptoms. The following tests may then be ordered to confirm the diagnosis and rule out other conditions that cause similar features: X-rays of the salivary gland (called a ptyalogram or sialogram) CT scan, MRI and/or ultrasound Salivary gland biopsy",MedQuAD,1
Is Thoracic outlet syndrome inherited ?,"Are cervical ribs inherited? Cervical ribs are actually thought to be a common trait. It has been estimated that 1 to 2% of the population have a cervical rib. Cervical ribs can affect one or both sides of the neck, and may cause thoracic outlet syndrome by putting pressure on an artery.  Currently, the cause of cervical ribs is not known. In general, both genetic and environmental factors are thought to be involved. There have been animal studies investigating the role of HOX genes in causing extra ribs. Studies have also suggested environmental exposures, such as maternal exposure to foreign chemicals or stress during pregnancy could play a role. Further research in this area is needed. There have been rare case reports of families with multiple members with cervical rib. In these families autosomal dominant inheritance was suspected. Click here to learn more about autosomal dominant inheritance.   While we were unable to find recurrence risk data that might help inform your loved ones of their risk for cervical rib and thoracic outlet syndrome, we do suggest that your family members let their healthcare provider know of their family medical history. The Surgeon General's Family History Initiative's Family Health Portrait Tool, may be a helpful resource. You can use this tool to collect, record, and share your family health history information. http://www.hhs.gov/familyhistory/","Are cervical ribs inherited? Cervical ribs are actually thought to be a common trait. It has been estimated that 1 to 2% of the population have a cervical rib. Cervical ribs can affect one or both sides of the neck, and may cause thoracic outlet syndrome by putting pressure on an artery.  Currently, the cause of cervical ribs is not known. In general, both genetic and environmental factors are thought to be involved. There have been animal studies investigating the role of HOX genes in causing extra ribs. Studies have also suggested environmental exposures, such as maternal exposure to foreign chemicals or stress during pregnancy could play a role. Further research in this area is needed. There have been rare case reports of families with multiple members with cervical rib. In these families autosomal dominant inheritance was suspected. Click here to learn more about autosomal dominant inheritance.   While we were unable to find recurrence risk data that might help inform your loved ones of their risk for cervical rib and thoracic outlet syndrome, we do suggest that your family members let their healthcare provider know of their family medical history. The Surgeon General's Family History Initiative's Family Health Portrait Tool, may be a helpful resource. You can use this tool to collect, record, and share your family health history information. http://www.hhs.gov/familyhistory/",MedQuAD,1
What is (are) Tracheoesophageal fistula ?,"Tracheoesophageal fistula (TEF) is a life-threatening condition in which there is an abnormal connection between the esophagus and trachea (windpipe). The esophagus and trachea run next to each other through the chest cavity. The esophagus carries food and saliva to the stomach, while the trachea carries air to the lungs. TEF can lead to severe and fatal lung complications. Saliva and gastric secretions can be aspirated into the lungs, and normal swallowing and digestion of food cannot occur. Most affected people are diagnosed immediately after birth or during infancy. Symptoms may include frothy bubbles of mucus in the mouth and nose; episodes of coughing and choking; and worsening symptoms during feeding. TEF may be isolated, or it may occur with other physical or developmental abnormalities (most commonly, esophageal atresia). In many cases the cause is unknown but it has been associated with some chromosome disorders. In some cases it may be acquired later in life after a cancer, infection, ruptured diverticula, or trauma. Treatment includes immediate surgical repair with survival rates of almost 100%.","Tracheoesophageal fistula (TEF) is a life-threatening condition in which there is an abnormal connection between the esophagus and trachea (windpipe). The esophagus and trachea run next to each other through the chest cavity. The esophagus carries food and saliva to the stomach, while the trachea carries air to the lungs. TEF can lead to severe and fatal lung complications. Saliva and gastric secretions can be aspirated into the lungs, and normal swallowing and digestion of food cannot occur. Most affected people are diagnosed immediately after birth or during infancy. Symptoms may include frothy bubbles of mucus in the mouth and nose; episodes of coughing and choking; and worsening symptoms during feeding. TEF may be isolated, or it may occur with other physical or developmental abnormalities (most commonly, esophageal atresia). In many cases the cause is unknown but it has been associated with some chromosome disorders. In some cases it may be acquired later in life after a cancer, infection, ruptured diverticula, or trauma. Treatment includes immediate surgical repair with survival rates of almost 100%.",MedQuAD,1
Is Robinow syndrome inherited ?,"How is Robinow syndrome inherited? Robinow syndrome may be inherited in an autosomal recessive or autosomal dominant manner. Autosomal recessive (AR) inheritance means both copies of the responsible gene in each cell must have a mutation for a person to be affected. The parents of a person with AR Robinow syndrome usually each carry one mutated copy of the gene and are referred to as carriers. Carriers typically are unaffected. When two carriers of AR Robinow syndrome have children together, each child has a 25% (1 in 4) chance to be affected, a 50% (1 in 2) chance to be an unaffected carrier like each parent, and a 25% chance to be unaffected and not a carrier. Autosomal dominant (AD) inheritance means that having only one mutated copy of the responsible gene in each cell is enough to cause features of the condition. Some people with AD Robinow syndrome inherit the mutated gene from an affected parent. In other cases, the mutation that causes the condition occurs for the first time in the affected person. When a person with AD Robinow syndrome has children, each child has a 50% chance to inherit the mutated gene.","How is Robinow syndrome inherited? Robinow syndrome may be inherited in an autosomal recessive or autosomal dominant manner. Autosomal recessive (AR) inheritance means both copies of the responsible gene in each cell must have a mutation for a person to be affected. The parents of a person with AR Robinow syndrome usually each carry one mutated copy of the gene and are referred to as carriers. Carriers typically are unaffected. When two carriers of AR Robinow syndrome have children together, each child has a 25% (1 in 4) chance to be affected, a 50% (1 in 2) chance to be an unaffected carrier like each parent, and a 25% chance to be unaffected and not a carrier. Autosomal dominant (AD) inheritance means that having only one mutated copy of the responsible gene in each cell is enough to cause features of the condition. Some people with AD Robinow syndrome inherit the mutated gene from an affected parent. In other cases, the mutation that causes the condition occurs for the first time in the affected person. When a person with AD Robinow syndrome has children, each child has a 50% chance to inherit the mutated gene.",MedQuAD,1
